#,Category,Question,Evidence,Gate
1.1,General,How realistic and integrated is the business case?,"_      Completed and internally agreed business case, setting out the cost over the lifecycle of the project.
_      A bottom-up approach with underpinning assumptions is taken and agreed to support the overall outcome of the business case. Dependencies consider the impact if assumptions change.
_      There is tangible evidence that the Senior Responsible Owner (SRO) and senior leaders in the Department believe in the delivery model.
_      There is evidence that the project still meets the business need.
_      There is consistency between the 5 cases : e.g. risks in strategic case, commercial case and management case are aligned.
_      The business case is continually updated to take into account any slippage and other changes, including an impact assessment.",GATE_3
2.1,Strategic,"Is there a clear link between the project and the organisation's key strategic priorities,
including agreed measures of success?","_      The Full Business Case (FBC) strategic case is aligned with wider organisational strategy.
_      Interviewees can consistently explain how the project fits with organisational strategy and can demonstrate the key strategic priorities.
Measures of success are agreed with the project team/Governance, SRO, Department, HMT (where required)
_      The FBC management case addresses benefits identification and management.
_      The benefits realisation plan is consistent with the wider project plan (e.g. milestones are aligned).
_      List of critical interdependencies and evidence on how projects/programmes keep track of interdependencies and synergies. This should also include a slippage impact assessment.
_      Comprehensive risk assessment.
_      Business continuity plans including rollback arrangements.",GATE_3
2.2,Strategic,"How has policy and strategic alignment, including at a cross- departmental network or system level, been considered for this programme and project?","_ The project should demonstrate:
_ Evidence of continual review of policy and
strategic alignment at a cross-departmental
network and system level.
_ Evidence of NetZero in the strategic aims of
the project, the procurement strategy and
implementation, and a clear quantifiable
demonstration of the project's contribution
to the Government's NetZero target.
_ Evidence of continual review of policy and
strategic alignment at a cross-departmental
network and system level.
_ Evidence of a clear strategy for business
change both in the organisation and
the supplier.
_ Clear articulation and evidence of how
the project links to priority outcomes at a
Department and Government level, as set out
in the Public Value Framework and agreed
through Outcome Delivery Plan.
_ Use of Project Outcome Profile to
demonstrate the link between cross-
government priorities, department priorities
and project priorities and outcomes.",GATE_3
2.3,Strategic,"Has the project embedded
the National Infrastructure
Commission four
recommended design
principles?
_ Carbon emissions
mitigation and
adaptation to
climate change;
_ People-based
outcomes
and community
engagement;
_ Local identity
and improving
environment; and
_ The realisation
of economic,
environmental and
social benefits to
the population.","_      The project has embedded the four recommended design principles as set out by the National Infrastructure Commission.
_      Evidence of how the design principles have been discussed at a senior level and embedded in
the project.",GATE_3
3.1,Economic,Does the project have a Greenbook compliant Outline Business Case (OBC) and a draft Full Business Case (FBC)?,"_       The OBC should have been approved by the
Department Investment Committee.
_ The draft FBC will be assessed along with the
other products at the Gate and used by the IPA
to provide HMT with a view of the business cases
readiness for approval. The business case should
demonstrate:
_ Benefits are thoroughly detailed in the
Economic Case with clear evidence of what
the project used as a measure e.g. 'good
practice' to define benefits and a compelling
benefits case which includes optimism bias
and consideration of macroeconomic factors
e.g. inflation.
_ Analysis on non-preferred options is
sufficiently rigorous to confirm that these
would not offer better value and stakeholders
have agreed the cost to end users
is affordable.
_ The financial case demonstrates how a
whole life view of value (rather than just
upfront capex) has informed options
appraisal, design, option selection and
commercial strategy.
_ The project can demonstrate adequate
approaches for estimating, monitoring and
controlling the total expenditure.
_ The strategic case is aligned with wider
organisational strategy.
_ The management case addresses benefits
identification and management. The benefits
realisation plan is consistent with the wider
project plan (e.g. milestones are aligned).
_ The management and financial cases should
show the emergence of any new risks
which were not considered/cost/or under-
estimated at the OBC stage, but have come
to light subsequent to negotiations with
the Preferred Bidder. Also any new external
developments which may have occurred such
as a change in Economic or Political scene
which may render the project more difficult
to procure and execute.
_ Every business case (strategic case) and
Project Execution Document should include
a section on scope. This should be baselined
and reviewed at each stage gate. Using the
same format to demonstrate changes to
scope, and the impact on cost and benefit
throughout the project lifecycle.",GATE_3
3.2,Economic,"Is there an agreed benefits realisation plan which
has been built using good practice, and including optimism bias?","_      Benefits are thoroughly detailed in the Economic Case with clear evidence of what the project used as a measure e.g. 'good practice' to
define benefits.
_      A compelling benefits case which includes optimism bias and consideration of macroeconomic factors e.g. inflation.
_      Analysis on non-preferred options is sufficiently rigorous to confirm that these would not offer better value for money and stakeholders have agreed the cost to end users is affordable.
_      An internally approved FBC Management case that sets out the high level benefits realisation approach.
_      The benefits realisation plan is approved and agreed with stakeholders (including wider government, clients and suppliers) who
are still supportive of the projects Critical Success Factors.
_      Assumptions that underpin benefit realisation are documented, agreed with the relevant parties and signed off.
_      Thought has been given to whether the project can be split into phases designed to deliver benefits earlier, learn lessons, and mitigate key risks.",GATE_3
3.3,Economic,"Does the project have a fully-costed, robust
evaluation plan to assess whether the project has successfully delivered its stated outcomes?","_      An updated, completed and agreed evaluation plan to assess its stated outcomes.
_      The project has consulted with stakeholders during evaluation and their acceptance of the proposed solution is documented.",GATE_3
3.4,Economic,To avoid 'loss of value' : Have the original intended benefits been considered as part of any change control process (for example by using a Project Outcome Profile)?,"The intended benefits are considered as part of
the change control.
_ Clear explanation of how benefits are calculated
on projects.
_ The change control procedures (both technical
and business) are defined, agreed and included in
the contract.
_ There is a well-articulated plan for implementing
change and plans for handling future change.
_ There is an updated and signed off change
tracker in place.
_ Evidence of a structured Change Control
approach for the project. This is to ensure
effective management due to the many external
stakeholders/decision makers/suppliers.
_ Use of Project Outcome Profile to demonstrate
the link between cross-government priorities,
department priorities and project priorities
and outcomes.",GATE_3
4.1,Commercial,"Does the commercial arrangement represent value for money, with an appropriate level of quality over the whole life of
the project?","_    The commercial strategy has been tested and
socialised with the industry (e.g. evidence of
market soundings, use of EOIs etc.) and approved
via the appropriate Governance structure.
_ The commercial strategy outlines clear
commercial objectives and the path to achieving
these, with clear evidence for how value for
money will be demonstrated throughout the
lifecycle of the project.
_ The project team can demonstrate that the
strategy supports a rational risk allocation
between the parties that is consistent with
the client's risk appetite and the supplier has a
comprehensive risk management plan including
political and market risks and clear mitigation
strategies outlined if the risks materialise. If
these have changed since the appointment of
a Preferred Bidder, the project team should
demonstrate how the overall risk profile ,
including the affordability and Value for Money,
has changed.
_ The contract reflects standard terms and
conditions and an appropriate allocation of risk
with evidence of Government Legal Services
(GLS) review and further legal and Crown
Commercial Services (CCS) and Government
Commercial Function (GCF) support.
_ There has been input from wider commercial
functions outside of the project to test/validate/
confirm approach e.g. Departmental commercial
teams, CCS or GCF (Complex Transactions).",GATE_3
4.2,Commercial,Is there evidence the supplier's funding is all in place? Is the project able to demonstrate there is little or no exposure of public funds or additional financial burden?,"_      The project should demonstrate:
_      That the supplier's funding is all in place, with little or no exposure of public funds or additional financial burden.
_      That all required resources and associated client-side funding is in place or will be once the FBC is approved by HMT.
_      Funding for the Project has been approved in the Spending Review by the Department's Finance Director.
_      The Project and HMT have been in dialogue about the full business case and HMT are ready for the review of the final FBC.
_      CO controls have been sighted on the draft FBC and the project has satisfied the CO controls teams' commercial and technology spend control requirements.",GATE_3
